"interval","sex","interaction_mean","interaction_sd"
"20","M",548.027210884354,352.105369222507
"60","M",194.081632653061,99.4497018461037
"120","M",105.914893617021,50.3996332747329
"220","M",57.5686274509804,26.0240311266036
"300","M",40,18.9093230973507
"420","M",31.4565217391304,11.7411082606544
"540","M",24.9056603773585,10.5105517511312
"680","M",14.7254901960784,8.10698077306848
"840","M",11.622641509434,6.78297193513722
"1000","M",8.05769230769231,5.70659563889207
"20","F",618.016574585635,304.890918110033
"60","F",204.947368421053,91.5135472119198
"120","F",113.203703703704,51.5702048062601
"220","F",57.625,24.7948400057167
"300","F",44.3,19.0408125449751
"420","F",25.864406779661,14.7781964593214
"540","F",17.2666666666667,10.0048575772593
"680","F",11.1525423728814,6.97980722815029
"840","F",7.83870967741935,5.37203917196726
"1000","F",5.76666666666667,3.93319926995508
